subj,trial,condition,target,respond,error,trial_duration,fb,fb_true,fb_offset,fb_time,conf
Test_08,1,0,46.95069999999998,-64.45379999999997,-17.50309999999999,33.45250000000002,0.0,94.98224,-94.98224,33.45250000000002,0.6919975
Test_08,2,0,-196.64230000000003,228.64460000000003,-32.00229999999999,66.55158333333335,0.0,225.333,-225.333,66.55158333333335,0.6429982
Test_08,3,0,303.1907000000001,-233.52420000000004,69.66650000000007,68.40750000000007,0.0,79.63685,-79.63685,68.40750000000007,0.3720016
Test_08,4,0,-9.750800000000027,31.2988,-21.547999999999973,26.47416666666662,0.0,339.6325,-339.6325,26.47416666666662,0.9549941
Test_08,5,0,-43.415099999999995,73.02680000000001,-29.611700000000013,37.30916666666671,0.0,172.2995,-172.2995,37.30916666666671,0.7759964
Test_08,6,0,356.56250000000006,-226.96614999999997,129.5963500000001,81.54499999999994,0.0,20.71824,-20.71824,81.54499999999994,0.6169985
Test_08,7,0,100.25623999999999,-92.66612,7.590119999999985,43.041666666666664,0.0,331.4821,-331.4821,43.041666666666664,0.6159985
Test_08,8,0,336.46469,-277.31226000000004,59.15242999999998,83.3125,0.0,165.1881,-165.1881,83.3125,0.733997
Test_08,9,0,-139.39395000000002,130.68758,8.706370000000021,53.86916666666657,0.0,53.14989,-53.14989,53.86916666666657,0.5729991
Test_08,10,0,49.880000000000024,-77.19209999999998,-27.31209999999996,45.90583333333294,0.0,230.3726,-230.3726,45.90583333333294,0.7519968
Test_08,11,1,-54.82888000000001,69.27875,-14.44986999999999,40.175,0.5839192,31.581,-30.9970808,9.730000000000292,0.968994
Test_08,12,1,257.51946,-292.10956999999996,-34.59010999999998,119.25833333333334,-30.39975,224.6667,-255.06645,34.671666666666475,0.9969936
Test_08,13,1,-33.42212999999998,66.98509,-33.56296000000002,35.91583333333353,14.92985,14.68669,0.2431599999999996,6.677500000000388,0.9879937
Test_08,14,2,-29.092100000000002,23.46180000000001,5.630299999999991,37.4875,-10.61366,226.3306,-236.94426,5.569999999999709,0.9989936
Test_08,15,1,309.86981000000003,-283.50878,26.361030000000028,94.79166666666667,5.14929,38.09356,-32.944269999999996,37.96916666666657,0.2380096
Test_08,16,2,24.844099999999997,-37.45069999999998,-12.606599999999986,30.823333333333235,-9.058417,251.876,-260.934417,6.029999999999806,1.0
Test_08,17,1,92.4162,-126.98859999999999,-34.57239999999999,68.74916666666637,-35.32404,68.02856,-103.3526,12.615833333333041,0.3630018
Test_08,18,1,277.86857000000003,-234.22804000000005,43.640529999999984,71.7325000000002,10.91811,215.3332,-204.41509,29.258333333333333,0.8459955
Test_08,19,2,-41.48950000000001,83.50820000000002,-42.01870000000001,35.180833333333915,26.98473,76.5204,-49.535669999999996,6.960000000000582,0.968994
Test_08,20,1,62.23119999999999,-66.78516,-4.553960000000018,41.921666666666475,-9.131112,300.0838,-309.21491199999997,10.485833333333721,0.4060012
Test_08,21,1,345.09880000000004,-327.01195999999993,18.08684000000011,88.48416666666647,54.35243,7.574526,46.777904,29.99749999999961,0.119003
Test_08,22,3,259.84956,-276.58967,-16.740110000000016,71.72916666666667,0.0,207.9034,-207.9034,26.75999999999961,0.6159985
Test_08,23,1,-106.25020000000004,165.246352,-58.99615199999997,47.30583333333295,46.81236,16.72837,30.083989999999996,12.703333333333527,0.6769977
Test_08,24,1,-179.1016,231.7942,-52.6926,71.17666666666628,-28.4115,263.8845,-292.296,21.854999999999805,0.5509993
Test_08,25,1,-345.2535,277.53380000000004,67.71969999999993,75.43916666666628,-16.49487,132.7004,-149.19527,31.4875,0.7739965
Test_08,26,2,-59.940259999999995,77.36484,-17.424580000000006,60.22583333333411,-16.50809,246.4462,-262.95429,10.371666666667442,0.6059986
Test_08,27,1,352.03090000000003,-336.89019999999994,15.140700000000095,90.19083333333256,6.359441,84.28526,-77.92581899999999,30.18666666666589,0.4790003
Test_08,28,1,-161.33126,283.36473,-122.03347000000002,71.64916666666686,-71.64436,282.9399,-354.58426000000003,17.324166666666862,0.5709991
Test_08,29,2,159.7475,-170.26690000000005,-10.519400000000047,66.3625,29.40983,221.6169,-192.20707,19.634166666666474,0.501
Test_08,30,1,-78.81619999999998,125.34690000000003,-46.53070000000005,42.310000000000585,12.1665,45.6714,-33.5049,12.053333333333528,0.962994
Test_08,31,2,-350.81058099999996,424.3032799999999,-73.49269899999996,80.74666666666647,-1.151894,269.6644,-270.816294,26.979166666666668,0.138003
Test_08,32,2,-174.7212,270.8573,-96.1361,65.625,18.44636,150.7553,-132.30894,21.020833333333332,0.9559941
Test_08,33,1,40.07560000000001,-59.164000000000016,-19.088400000000007,39.2375,28.29528,68.71051,-40.415229999999994,8.624166666666861,1.0
Test_08,34,2,-161.41229999999996,280.8647,-119.45240000000007,59.881666666666085,-0.596941,234.0277,-234.624641,15.75,0.7989962
Test_08,35,1,137.67095999999998,-162.18243000000004,-24.51147000000006,52.30083333333314,5.302796,164.385,-159.082204,16.679166666666667,0.9819938
Test_08,36,1,-214.28128000000004,277.6869,-63.40561999999994,67.575,-17.65079,333.8619,-351.51269,19.55,0.656998
Test_08,37,1,170.56880000000007,-212.6135,-42.04469999999992,59.025,-26.8579,208.8387,-235.6966,18.058333333333334,0.5439994
Test_08,38,2,-288.00949999999995,366.9518,-78.94230000000005,93.93333333333334,7.168633,356.2507,-349.082067,26.283333333333335,0.7969962
Test_08,39,1,46.233389999999986,-55.39258000000006,-9.159190000000073,44.208333333333336,32.5587,253.4186,-220.85989999999998,7.6,0.654998
Test_08,40,1,-109.06889999999999,147.01189999999997,-37.942999999999984,39.7,-37.97227,81.1184,-119.09066999999999,12.783333333333333,0.7159972
Test_08,41,1,262.7989999999999,-248.61530000000008,14.183699999999845,64.21666666666667,-23.85372,169.5996,-193.45332000000002,23.891666666666666,0.580999
Test_08,42,2,-4.66519999999997,30.174699999999916,-25.509499999999946,22.491666666666667,-4.45011,1.761082,-6.211192,3.35,0.968994
