subj,trial,condition,target,fb_true,respond,error,trial_duration,fb_time,fb,conf,fb_offset,viewAmount
Test_02,53,FB,26.0308,213.5691,-99.90269,73.87189,26.08333333,3.35,18.45255,0.7899963,-195.11655,0
Test_02,54,FB,-74.4094,35.46824,185.0682,110.6588,43.1,7.7,39.42326,0.4830002,3.95502,0
Test_02,55,FB,-7.6522,251.0586,98.257935,90.605735,24.39166667,1.858333333,29.85841,0.5719991,-221.20019,0
Test_02,56,FB,132.548569,106.078,-241.7631,109.214531,29.85833333,8.483333333,61.7847,0.4410008,-44.2933,0
Test_02,57,FB,-338.0044,190.5685,446.893066,108.888666,51.975,17.6,6.054606,0.2910027,-184.513894,0
Test_02,58,FB,-102.132111,92.32352,198.62817,96.496059,31.4,6.766666667,-42.62239,0.7549967,-134.94591,0
Test_02,59,FB,-288.58981,327.2869,331.21809,42.62828,40.50833333,14.36666667,3.785284,0.579999,-323.501616,0
Test_02,60,FB,21.1655,136.6948,-116.58097,95.41547,25.96666667,2.316666667,0,0.8649924,-136.6948,0
Test_02,61,FB,247.74876,348.0139,-380.1411802,132.3924202,36.425,12.18333333,-21.00513,0.4810002,-369.01903,0
Test_02,62,FB,-271.34809,94.68164,369.24761,97.89952,32.96666667,12.61666667,30.51,0.6079986,-64.17164,0
Test_02,63,FB,-337.0405,320.6329,392.66836,55.62786,47.53333333,16.3,-4.324721,0.3360021,-324.957621,0
Test_02,64,FB,85.8934,150.2365,-176.81321,90.91981,45.88333333,7.608333333,25.22814,0.7069973,-125.00836,0
Test_02,65,FB,204.77597,348.8116,-287.3141,82.53813,39.66666667,11.95833333,2.53535,0.7989962,-346.27625,0
Test_02,66,FB,-256.6297,90.76385,323.40078,66.77108,39.3,12.23333333,10.15159,0.8439956,-80.61226,0
Test_02,67,FB,64.90427,302.6325,-182.6622,117.75793,21.875,5.575,-34.40849,0.6909975,-337.04099,0
Test_02,68,FB,267.821,72.2132,-353.5037,85.6827,35.21666667,12.13333333,-29.97557,0.6319983,-102.18877,0
Test_02,69,FB,-194.40008,183.8715,278.71368,84.3136,43.45833333,10.94166667,27.48236,0.6879947,-156.38914,0
Test_02,70,FB,32.1573,48.0152,-127.823,95.6657,19.25833333,3.25,0,0.6689978,-48.0152,0
Test_02,71,FB,156.36234,148.7746,-270.82558,114.46324,29.01666667,9,19.70406,0.7989962,-129.07054,0
Test_02,72,FB,115.4111,259.6921,-237.25126,121.84016,26.45,8.075,16.59348,0.811996,-243.09862,0
Test_02,73,FB,-3.18516,9.310678,89.2533,86.06814,21.38333333,0.558333333,-18.40911,0.734997,-27.719788,0
Test_02,74,FB,247.922301,207.8786,-341.28665,93.364349,39.2,14.21666667,-17.37518,0.6289983,-225.25378,0
Test_02,75,FB,84.89112,325.1392,-205.3663,120.47518,26.8,7.241666667,-9.525482,0.6229984,-334.664682,0
Test_02,76,FB,-125.5214901,91.43125,217.50133,91.9798399,32.11666667,9.133333333,13.44832,0.5619963,-77.98293,0
Test_02,77,FB,-60.55292,301.4026,153.05881,92.50589,22.03333333,5.666666667,19.82459,0.8069932,-281.57801,0
Test_02,78,FB,63.06805,160.6224,-127.5164,64.44835,24.71666667,6.416666667,22.24476,0.4010013,-138.37764,0
Test_02,79,FB,-128.0221,260.7752,189.94692,61.92482,42.53333333,12.975,-15.44522,0.8169959,-276.22042,0
Test_02,80,FB,223.69351,115.6046,-383.4942,159.80069,42.45,13.625,-47.56675,0.5609992,-163.17135,0
Test_02,81,FB,61.3529,197.0611,-186.93698,125.58408,35.425,11.06666667,-75.79797,0.7219971,-272.85907,0
Test_02,82,FB,289.4735,310.4415,-468.46964,178.99614,48.56666667,15.46666667,1.064476,0.5849989,-309.377024,0
Test_02,83,FB,39.79822,336.299,-167.550006,127.751786,19.36666667,3.725,-13.41256,0.3520019,-349.71156,0
Test_02,84,FB,303.513181,97.64543,-414.1572,110.644019,42.71666667,14.08333333,-11.99156,0.7129973,-109.63699,0
Test_02,85,FB,-299.1167,209.3677,439.3943,140.2776,46.225,15.925,50.76236,0.2890027,-158.60534,0
Test_02,86,FB,251.72162,118.624,-397.9593,146.23768,46.14166667,14.35833333,-25.76106,0.5089999,-144.38506,0
Test_02,87,FB,53.9595,188.4885,-132.55855,78.59905,23.60833333,4.733333333,20.91135,0.6379982,-167.57715,0
Test_02,88,FB,-55.5146,351.0431,134.2859,78.7713,25.09166667,5.85,-26.77977,0.3580018,-377.82287,0
Test_02,89,FB,292.977,173.0917,-383.1086,90.1316,45.64166667,17.78333333,-10.19493,0.8309957,-183.28663,0
Test_02,90,FB,73.8811,319.2271,-135.853,61.9719,25.5,6.125,16.4629,0.4180011,-302.7642,0
Test_02,91,FB,-74.6798,101.4822,193.10822,118.42842,36.41666667,6.958333333,59.10731,0.5199997,-42.37489,0
Test_02,92,FB,352.5125,349.0957,-494.4859,141.9734,52.30833333,18.54166667,21.60725,0.6189985,-327.48845,0
Test_02,93,FB,349.8363,47.57214,-371.9061,22.0698,65.40833333,20.575,-24.02464,0.2770029,-71.59678,0
Test_02,94,FB,205.9229,222.1953,-340.357,134.4341,47.525,13.75,-30.82507,0.6719978,-253.02037,0
Test_02,95,FB,-210.02168,323.2253,280.2541,70.23242,38.65833333,12.98333333,0,0.576999,-323.2253,0
Test_02,96,FB,274.76583,164.8072,-396.7616,121.99577,48.45,17.04166667,-89.44587,0.4050012,-254.25307,0
Test_02,97,FB,192.8531,250.1823,-274.6105,81.7574,39.94166667,16.30833333,21.54565,0.5159998,-228.63665,0
Test_02,98,FB,286.1297,35.47318,-400.2917,114.162,40.675,15.375,-19.48777,0.4310009,-54.96095,0
Test_02,99,FB,-106.5345,140.5299,159.28457,52.75007,27.59166667,7.516666667,-30.77861,0.733997,-171.30851,0
Test_02,100,FB,30.6762,324.8561,-129.029917,98.353717,18.84166667,3.758333333,-14.40841,0.812996,-339.26451,0
Test_02,101,FB,-196.59964,153.3745,264.5422,67.94256,55.425,24.63333333,-24.47855,0.735997,-177.85305,0
Test_02,102,FB,270.7039,335.7911,-389.6322,118.9283,57.35,20.65,0,0.7719965,-335.7911,0
Test_02,103,FB,-302.7894,75.49365,419.695,116.9056,44.00833333,17.825,19.37417,0.6129985,-56.11948,0
Test_02,104,FB,-230.3798,293.2316,319.8597,89.4799,44.025,15.85,0,0.6749977,-293.2316,0
Test_02,105,FB,-292.2665,126.3656,377.4172,85.1507,41.025,17.93333333,-9.529892,0.5909988,-135.895492,0
Test_02,106,FB,-149.12342,326.4967,267.86224,118.73882,31.825,11.51666667,38.18214,0.5399995,-288.31456,0
Test_02,107,FB,-185.1146,198.2141,229.01657,43.90197,34.71666667,15.50833333,-9.617342,0.730997,-207.831442,0
Test_02,108,FB,221.2776,22.13771,-307.8309,86.5533,41.875,13.80833333,0,0.7019974,-22.13771,0
Test_02,109,FB,61.5242,150.2616,-185.392253,123.868053,29.63333333,10.66666667,-26.52621,0.7809964,-176.78781,0
Test_02,110,FB,-285.2761,273.8551,432.4604,147.1843,79.45833333,47.06666667,34.86465,0.7429969,-238.99045,0
Test_02,111,FB,-59.8414,178.9852,217.5675,157.7261,29.91666667,7.191666667,32.2113,0.7139972,-146.7739,0
Test_02,112,FB,-46.621,87.61033,191.71516,145.09416,32.04166667,6.225,3.269631,0.7509968,-84.340699,0
Test_02,113,FB,-310.69977,319.9708,290.66894,-20.03083,36.85833333,18.80833333,-36.99537,0.7129973,-356.96617,0
Test_02,114,FB,-261.19101,65.29845,318.53326,57.34225,40.35833333,15.56666667,13.65767,0.6049986,-51.64078,0
Test_02,115,FB,227.2674,251.6116,-373.3012,146.0338,38.69166667,15.93333333,-32.11352,0.8189959,-283.72512,0
Test_02,116,FB,-80.2514,337.3914,173.12203,92.87063,23.34166667,7.241666667,14.22214,0.9049948,-323.16926,0
Test_02,117,FB,-104.565,186.563,185.63789,81.07289,24.28333333,9.116666667,-15.52233,0.9259945,-202.08533,0
Test_02,118,FB,-355.822,13.4887,502.8442,147.0222,58.51666667,25.03333333,0,0.7149972,-13.4887,0
Test_02,119,FB,-80.0831,251.9124,181.2076,101.1245,26.225,6.866666667,11.50922,0.7269971,-240.40318,0
Test_02,120,FB,68.51748,98.27663,-160.8503,92.33282,27.425,7.608333333,-10.8726,0.7999961,-109.14923,0
Test_02,121,FB,-217.5532,237.9261,353.20938,135.65618,39.41666667,13.20833333,21.48199,0.4590005,-216.44411,0
Test_02,122,FB,-267.12627,113.6771,381.1679,114.04163,41.425,14.55,19.55484,0.5149998,-94.12226,0
Test_02,123,FB,287.69899,346.6156,-459.86601,172.16702,56.075,24.21666667,-28.93642,0.3820015,-375.55202,0
Test_02,124,FB,-218.8233,36.54441,310.012,91.1887,40.95833333,15.68333333,-14.43644,0.3930014,-50.98085,0
Test_02,125,FB,-152.0335,248.0457,216.9412,64.9077,27.35,11.58333333,0,0.7209972,-248.0457,0
Test_02,126,FB,278.7795,81.14417,-408.9334,130.1539,44.8,17.04166667,0,0.5449994,-81.14417,0
Test_02,127,FB,-293.9898,192.7649,488.56321,194.57341,44.56666667,16.19166667,21.98192,0.5819989,-170.78298,0
Test_02,128,FB,61.47445,127.6558,-180.1239,118.64945,44.3,19.65,22.46836,0.3550019,-105.18744,0
Test_02,129,FB,268.02347,225.6656,-418.70883,150.68536,47.76666667,17.325,-55.81336,0.4490007,-281.47896,0
Test_02,130,FB,-167.18284,161.868,275.0452,107.86236,38.58333333,16.59166667,-0.6808978,0.4430007,-162.5488978,0
Test_02,131,FB,37.7564,26.47765,-180.28764,142.53124,19.03333333,4.458333333,0,0.4880002,-26.47765,0
Test_02,132,FB,118.66163,150.2769,-226.42269,107.76106,25.59166667,12.13333333,-18.84964,0.4830002,-169.12654,0
Test_02,133,FB,-297.96252,264.1809,452.31855,154.35603,36.50833333,14.91666667,15.4632,0.4720004,-248.7177,0
Test_02,134,FB,46.17589,163.6502,-237.4224,191.24651,35.98333333,15.65833333,-2.408202,0.4430007,-166.058402,0
Test_02,135,FB,28.8521,208.6995,-151.64231,122.79021,18.33333333,3.991666667,-42.94423,0.5669991,-251.64373,0
Test_02,136,FB,-111.466,322.3332,226.76989,115.30389,36.43333333,20.85,1.715387,0.576999,-320.617813,0
Test_02,137,FB,-173.53289,161.6897,257.35402,83.82113,30.00833333,12.33333333,48.49626,0.5849989,-113.19344,0
Test_02,138,FB,22.8023,1.551554,-146.824,124.0217,19.275,4.008333333,-50.79619,0.7919962,-52.347744,0
Test_02,139,FB,309.7772,129.4208,-421.6966,111.9194,35.95,15.83333333,-28.99247,0.3970013,-158.41327,0
Test_02,140,FB,-195.6125,219.5316,268.9593,73.3468,26.975,11.71666667,12.34794,0.8329957,-207.18366,0
Test_02,141,FB,291.69377,54.65412,-461.83379,170.14002,37,15.20833333,22.21192,0.8549954,-32.4422,0
Test_02,142,FB,150.07053,132.4257,-307.6143,157.54377,30.69166667,9.566666667,13.0445,0.8639953,-119.3812,0
Test_02,143,FB,279.2765,208.0771,-387.5773,108.3008,38.15,17.24166667,-1.889378,0.5629992,-209.966478,0
Test_02,144,FB,7.8395,303.1871,-100.3002,92.4607,12.96666667,1.308333333,-7.903368,0.6349983,-311.090468,0
Test_02,145,FB,-311.7197,109.6692,437.3773,125.6576,37.81666667,16.86666667,16.1863,0.6699978,-93.4829,0
Test_02,146,FB,336.665,2.94728,-454.7068,118.0418,38.725,17.4,-28.21519,0.9359944,-31.16247,0
Test_02,147,FB,-4.8318,83.32925,150.98861,146.15681,17.78333333,1.866666667,-64.7002,0.8309957,-148.02945,0
Test_02,148,FB,-139.0229,318.2466,242.0553,103.0324,36.4,19.26666667,21.12368,0.9539942,-297.12292,0
Test_02,149,FB,-265.9539,158.4128,356.5618,90.6079,30.99166667,13.04166667,-12.08587,0.887995,-170.49867,0
Test_02,150,FB,115.2175,349.4121,-257.51119,142.29369,30.59166667,15.66666667,22.75402,0.8679953,-326.65808,0
Test_02,151,FB,284.71553,78.69991,-460.76698,176.05145,38.375,16.625,17.49335,0.7149972,-61.20656,0
Test_02,152,FB,313.36319,182.9605,-432.66519,119.302,86.51666667,64.58333333,-46.3438,0.8049961,-229.3043,0
Test_02,153,FB,-198.867468,284.7277,322.11668,123.249212,29.45833333,11.54166667,0,0.889995,-284.7277,0
Test_02,154,FB,81.81769,140.086,-189.9005,108.08281,19.18333333,5.675,0,0.7849963,-140.086,0
Test_02,155,FB,-93.9762,276.6372,186.889937,92.913737,17.59166667,7.083333333,-15.5486,0.8489955,-292.1858,0
Test_02,156,FB,-78.224,86.82607,227.46095,149.23695,24.56666667,9.083333333,26.24436,0.7009974,-60.58171,0
Test_02,157,FB,-67.15838,350.8697,220.8453,153.68692,22.21666667,4.658333333,10.24937,0.7659966,-340.62033,0
Test_02,158,FB,-202.7125,213.4222,321.6446,118.9321,28.40833333,10.38333333,-12.87116,0.7019974,-226.29336,0
Test_02,159,FB,-214.4191,68.40575,289.9527,75.5336,28.99166667,13.61666667,9.790214,0.7449968,-58.615536,0
Test_02,160,FB,-50.03927,252.8833,190.7397,140.70043,19.725,6.308333333,4.49093,0.8239958,-248.39237,0
Test_02,161,FB,-38.3828,115.2882,192.57749,154.19469,32.325,4.658333333,0,0.7099973,-115.2882,0
Test_02,162,FB,253.03552,312.9349,-360.2961,107.26058,29.375,13.43333333,-4.829837,0.5989987,-317.764737,0
Test_02,163,FB,-296.16868,23.52892,381.11549,84.94681,36.53333333,16.575,-18.347,0.8689952,-41.87592,0
Test_02,164,FB,45.119,206.6679,-185.43562,140.31662,19.19166667,5.575,-10.03194,0.886995,-216.69984,0
Test_02,165,FB,-30.22492,2.325853,181.3282,151.10328,17.83333333,3.066666667,36.68655,0.8629953,34.360697,0
Test_02,166,FB,-295.347,229.4555,422.2603,126.9133,38.025,16.13333333,40.18873,0.5459994,-189.26677,0
Test_02,167,FB,145.4185,113.5513,-208.5193,63.1008,29.24166667,13.90833333,17.59174,0.8939949,-95.95956,0
Test_02,168,FB,-45.54867,249.8783,171.24655,125.69788,22.33333333,6.125,11.98447,0.8789951,-237.89383,0
Test_02,169,FB,-132.44763,111.4619,237.229015,104.781385,43.275,26.13333333,-41.87966,0.888995,-153.34156,0
Test_02,170,FB,104.5948,340.7005,-191.44286,86.84806,20.275,8.458333333,-18.78764,0.735997,-359.48814,0
